query,matched_keywords,total_keywords,score,embedding_model,chunk_size,chunk_overlap
What is the role of a Chief Data Officer?,1,3,0.33,sentence-transformers/all-MiniLM-L6-v2,300,50
How can mentoring help in a data career?,2,3,0.67,sentence-transformers/all-MiniLM-L6-v2,300,50
What is the CRISP-DM process?,3,3,1.0,sentence-transformers/all-MiniLM-L6-v2,300,50
How to stand out as a data scientist?,1,4,0.25,sentence-transformers/all-MiniLM-L6-v2,300,50
What is the role of a Chief Data Officer?,1,3,0.33,sentence-transformers/all-MiniLM-L6-v2,500,100
How can mentoring help in a data career?,2,3,0.67,sentence-transformers/all-MiniLM-L6-v2,500,100
What is the CRISP-DM process?,2,3,0.67,sentence-transformers/all-MiniLM-L6-v2,500,100
How to stand out as a data scientist?,2,4,0.5,sentence-transformers/all-MiniLM-L6-v2,500,100
What is the role of a Chief Data Officer?,1,3,0.33,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,300,50
How can mentoring help in a data career?,2,3,0.67,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,300,50
What is the CRISP-DM process?,3,3,1.0,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,300,50
How to stand out as a data scientist?,2,4,0.5,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,300,50
What is the role of a Chief Data Officer?,1,3,0.33,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,500,100
How can mentoring help in a data career?,2,3,0.67,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,500,100
What is the CRISP-DM process?,2,3,0.67,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,500,100
How to stand out as a data scientist?,2,4,0.5,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,500,100
